@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute number_stopwords numeric
@attribute Is_Arg1_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
IN,no,0,no,NULL,1,?
VBT,no,0,no,RB,2,?
NULL,no,1,no,CC,1,?
NULL,no,2,yes,NULL,2,?
SC,no,0,no,NULL,1,?
NULL,no,1,no,VBT,3,?
NULL,no,1,yes,NULL,1,?
IN,no,1,yes,NULL,1,?
NEG,no,0,no,IN,1,?
IN,no,1,no,NULL,1,?
IN,no,3,no,NN,3,?
NULL,no,3,no,NULL,4,?
NULL,no,2,no,NULL,4,?
SC,no,0,no,NULL,1,?
SC,no,0,no,VBT,1,?
SC,no,0,no,VBT,1,?
SC,no,0,no,VBT,1,?
SC,no,0,no,VBT,1,?
SC,no,0,no,VBT,1,?
SC,no,0,no,VBT,1,?
NN,no,0,no,VBT,1,?
NULL,no,1,no,NNP,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NN,yes,1,no,RP,1,?
NULL,yes,0,yes,NNP,1,?
NULL,yes,1,no,RP,1,?
NULL,yes,0,yes,RB,1,?
NULL,yes,1,no,RP,1,?
NULL,yes,0,yes,RB,1,?
NULL,yes,1,no,RP,1,?
NULL,yes,0,yes,RB,1,?
NULL,yes,1,no,RP,1,?
NULL,yes,0,yes,RB,1,?
NULL,yes,1,no,RP,1,?
NULL,yes,0,yes,RB,1,?
NULL,yes,1,no,RP,1,?
NULL,yes,0,yes,RB,1,?
NULL,yes,1,no,RP,1,?
NULL,yes,0,yes,RB,1,?
NULL,yes,1,no,RP,1,?
NULL,yes,0,yes,RB,1,?
NEG,no,1,no,NULL,1,?
NULL,no,1,no,NEG,1,?
NEG,no,1,no,CDP,1,?
NULL,no,1,no,NEG,1,?
NEG,no,1,no,CDP,1,?
NULL,no,1,no,NEG,1,?
NEG,no,1,no,CDP,1,?
NULL,no,1,no,NEG,1,?
NEG,no,1,no,CDP,1,?
NN,no,1,no,NEG,1,?
VBT,no,1,no,NN,1,?
VBT,no,1,no,VBT,1,?
VBT,no,1,no,VBT,1,?
VBT,no,1,no,VBT,1,?
VBT,no,1,no,VBT,1,?
NULL,no,1,no,VBT,1,?
