@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute number_stopwords numeric
@attribute Is_Arg1_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
VBI,no,0,no,NULL,2,?
CC,no,0,no,NULL,1,?
NULL,no,2,no,NULL,2,?
NULL,no,1,yes,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,0,no,NULL,1,?
VBT,no,1,no,NULL,1,?
NULL,no,0,no,VBI,1,?
NULL,no,1,yes,NULL,1,?
SC,no,0,no,NULL,1,?
NULL,yes,2,no,IN,2,?
NULL,no,1,yes,IN,1,?
SC,no,1,yes,NULL,5,?
NULL,yes,1,yes,NULL,1,?
RB,no,1,no,NULL,2,?
RB,no,1,no,CDP,2,?
RB,no,1,no,CDP,2,?
RB,no,1,no,CDP,2,?
NNP,no,1,no,CDP,2,?
VBI,yes,1,no,IN,1,?
NULL,yes,1,yes,RB,1,?
VBI,yes,1,no,NULL,1,?
NULL,yes,1,yes,RB,1,?
VBI,yes,1,no,NULL,1,?
NULL,yes,1,yes,RB,1,?
VBI,yes,1,no,NULL,1,?
NULL,yes,1,yes,RB,1,?
VBI,yes,1,no,NULL,1,?
NULL,yes,1,yes,RB,1,?
VBI,yes,1,no,NULL,1,?
NULL,yes,1,yes,RB,1,?
IN,yes,1,yes,NULL,1,?
IN,yes,1,yes,NULL,1,?
IN,yes,1,yes,NULL,1,?
IN,yes,1,yes,NULL,1,?
IN,yes,1,yes,NULL,1,?
NULL,no,1,yes,NULL,1,?
NULL,no,1,yes,NULL,1,?
NULL,no,1,yes,NULL,1,?
NULL,no,1,yes,NULL,1,?
NULL,no,1,yes,NULL,1,?
IN,no,1,yes,NULL,1,?
IN,no,1,yes,NULL,1,?
IN,no,1,yes,NULL,1,?
IN,no,1,yes,NULL,1,?
IN,no,1,yes,NULL,1,?
