@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute number_stopwords numeric
@attribute Is_Arg1_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
NULL,no,2,no,NULL,3,?
NULL,no,1,no,NULL,2,?
IN,no,2,no,RB,2,?
NULL,no,2,yes,IN,2,?
NULL,no,0,no,RB,1,?
VBI,no,2,no,IN,4,?
CC,yes,1,no,RB,1,?
VBI,no,2,yes,IN,2,?
IN,no,0,yes,NULL,1,?
VBT,yes,1,no,IN,1,?
NULL,no,0,yes,VBT,1,?
NULL,no,1,yes,NULL,1,?
VBT,no,1,yes,NULL,1,?
VBT,no,0,no,RB,1,?
SC,no,1,no,CC,1,?
RP,yes,1,no,RP,2,?
NULL,no,1,yes,NULL,1,?
SC,yes,0,no,IN,1,?
SC,no,0,no,CC,2,?
NULL,no,0,no,NULL,1,?
NULL,no,2,no,NULL,2,?
VBT,no,1,no,NULL,1,?
NULL,yes,1,no,RB,1,?
NULL,no,2,yes,IN,4,?
NULL,no,1,no,VBT,2,?
NULL,no,1,no,MD,1,?
NULL,no,1,yes,NULL,1,?
VBT,no,0,no,NULL,1,?
NULL,no,1,no,VBT,1,?
NULL,no,1,no,VBI,2,?
RB,no,1,no,UH,1,?
NULL,no,1,no,NULL,1,?
NULL,no,2,no,NEG,3,?
NULL,no,1,no,VBT,1,?
NNP,no,4,no,NULL,5,?
NULL,yes,1,yes,JJ,1,?
NULL,no,1,no,NN,1,?
NULL,no,1,no,NN,1,?
NULL,no,1,no,NN,1,?
NULL,no,1,no,NN,1,?
NULL,no,1,no,NN,1,?
NULL,no,1,no,NN,1,?
NN,no,1,no,NN,1,?
CDP,no,2,no,NN,2,?
CDP,no,2,no,CDP,2,?
CDP,no,2,no,CDP,2,?
CDP,no,2,no,CDP,2,?
CDP,no,2,no,CDP,2,?
NULL,no,2,no,CDP,2,?
NN,yes,1,no,NN,1,?
NNP,no,0,no,NNP,1,?
NNP,no,1,no,RP,1,?
RB,no,1,no,RP,1,?
NNP,no,1,no,RB,1,?
