@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute number_stopwords numeric
@attribute Is_Arg1_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
SC,no,0,no,NULL,2,?
MD,no,0,no,NULL,1,?
NULL,no,0,no,NULL,1,?
VBT,no,1,no,NULL,1,?
SC,no,0,no,NEG,1,?
NULL,no,1,no,DT,1,?
NULL,no,1,no,SC,1,?
RB,no,1,no,JJ,1,?
MD,no,1,no,IN,2,?
VBT,no,0,no,JJ,1,?
NULL,no,0,no,NULL,2,?
NULL,yes,2,yes,NULL,2,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,VBT,1,?
NULL,no,1,no,NULL,3,?
VBI,no,1,no,NULL,2,?
PRP,no,1,no,RB,1,?
VBI,no,1,no,PRP,1,?
NULL,no,2,no,NULL,3,?
NULL,yes,1,no,RB,1,?
VBI,no,1,no,NULL,1,?
NULL,no,0,no,NULL,1,?
NULL,no,0,no,VBT,1,?
IN,no,1,yes,NULL,1,?
NULL,no,0,yes,NULL,1,?
NULL,no,1,no,VBT,1,?
VBI,no,0,no,NULL,1,?
NULL,no,1,no,NULL,2,?
NULL,no,0,no,NULL,2,?
SC,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NNP,no,1,no,NULL,1,?
IN,no,0,yes,RB,2,?
IN,no,0,yes,RB,2,?
IN,no,0,yes,RB,2,?
IN,no,0,yes,RB,2,?
IN,no,0,yes,RB,2,?
IN,no,0,yes,RB,2,?
IN,no,0,yes,RB,2,?
IN,no,0,yes,RB,2,?
NULL,yes,1,no,NNP,1,?
NULL,no,1,no,NULL,1,?
NULL,yes,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,yes,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,yes,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,yes,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,yes,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
SC,no,0,yes,IN,1,?
SC,no,0,yes,IN,1,?
SC,no,0,yes,IN,1,?
SC,no,0,yes,IN,1,?
SC,no,0,yes,IN,1,?
SC,no,0,yes,IN,1,?
SC,no,0,yes,IN,1,?
NULL,no,0,yes,IN,1,?
