@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute number_stopwords numeric
@attribute Is_Arg1_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
NULL,no,2,no,NULL,3,?
NULL,no,0,no,JJ,1,?
NULL,no,1,no,NULL,2,?
NULL,no,1,no,NULL,2,?
RB,no,1,no,UH,1,?
VBT,no,1,no,NULL,2,?
NULL,no,0,no,NULL,1,?
NULL,no,2,yes,NULL,2,?
NEG,no,1,no,MD,1,?
NULL,no,1,no,NN,2,?
IN,no,3,no,VBT,3,?
SC,no,1,no,VBT,2,?
NULL,no,1,no,NULL,2,?
RP,no,1,no,NULL,1,?
NULL,no,0,no,CC,1,?
NULL,no,1,no,NULL,1,?
SC,no,1,no,CC,1,?
SC,no,1,no,IN,3,?
VBT,no,1,yes,NULL,2,?
NULL,no,1,no,JJ,1,?
RB,no,0,yes,NULL,1,?
IN,no,2,no,VBI,3,?
NULL,no,0,no,IN,1,?
SC,no,2,yes,NULL,3,?
CC,no,1,no,VBT,1,?
NULL,no,2,yes,NULL,3,?
VBI,no,2,no,JJ,2,?
SC,no,1,no,RP,2,?
PRP,no,1,no,NULL,1,?
PRP,no,2,no,SC,3,?
SC,no,2,no,JJ,2,?
NULL,yes,0,no,VBT,1,?
