@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute number_stopwords numeric
@attribute Is_Arg1_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
NULL,no,1,no,NULL,3,?
VBI,no,1,no,NULL,3,?
NULL,no,1,no,IN,2,?
NULL,no,0,no,SC,1,?
NULL,no,2,no,NULL,2,?
NULL,no,1,no,NULL,2,?
NULL,no,1,no,NULL,1,?
NULL,yes,0,no,VBT,2,?
NULL,no,0,no,NULL,1,?
IN,no,1,yes,NULL,1,?
IN,yes,0,no,NULL,1,?
NULL,no,1,yes,VBT,1,?
NULL,no,2,no,NULL,2,?
NULL,no,0,no,VBT,1,?
NULL,no,1,no,NULL,1,?
IN,no,2,yes,NULL,2,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,IN,3,?
VBT,yes,0,no,NEG,1,?
NULL,no,0,yes,VBT,1,?
NULL,no,1,no,NULL,2,?
NULL,no,2,no,NULL,2,?
VBT,no,2,no,NULL,2,?
NULL,no,0,no,NN,1,?
NULL,no,0,no,NN,1,?
NULL,no,0,no,NN,1,?
NULL,no,0,no,NN,1,?
NULL,no,0,no,NN,1,?
NULL,no,1,no,NNP,1,?
NULL,no,1,no,NNP,1,?
NULL,no,1,no,NNP,1,?
NULL,no,1,no,NNP,1,?
NULL,no,1,no,NNP,1,?
NULL,no,1,no,NNP,1,?
NULL,no,1,no,NNP,1,?
NULL,no,1,no,NNP,1,?
NULL,no,1,no,NNP,1,?
NN,yes,1,no,NNP,1,?
RB,yes,1,no,NULL,1,?
RB,no,1,yes,RB,1,?
RB,yes,1,no,RB,1,?
RB,no,1,yes,RB,1,?
RB,yes,1,no,RB,1,?
RB,no,1,yes,RB,1,?
RB,yes,1,no,RB,1,?
RB,no,1,yes,RB,1,?
RB,yes,1,no,RB,1,?
RB,no,1,yes,RB,1,?
RB,yes,1,no,RB,1,?
RB,no,1,yes,RB,1,?
RB,yes,1,no,RB,1,?
RB,no,1,yes,RB,1,?
RB,yes,1,no,RB,1,?
CC,no,1,yes,RB,1,?
RB,yes,1,no,RB,1,?
IN,no,1,yes,JJ,2,?
RB,yes,1,no,IN,1,?
IN,no,1,yes,JJ,2,?
RB,yes,1,no,IN,1,?
IN,no,1,yes,JJ,2,?
RB,yes,1,no,IN,1,?
IN,no,1,yes,JJ,2,?
RB,yes,1,no,IN,1,?
IN,no,1,yes,JJ,2,?
RB,yes,1,no,IN,1,?
IN,no,1,yes,JJ,2,?
RB,yes,1,no,IN,1,?
IN,no,1,yes,JJ,2,?
NULL,no,1,no,IN,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,yes,1,no,NULL,1,?
NULL,yes,1,no,NULL,1,?
NULL,yes,1,no,NULL,1,?
NULL,yes,1,no,NULL,1,?
NULL,yes,1,no,NULL,1,?
NULL,yes,1,no,NULL,1,?
