@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
NULL,yes,NULL,1,no
NULL,no,NULL,3,no
NULL,yes,IN,1,yes
VBT,no,NULL,1,yes
CC,no,VBT,1,no
DT,no,NULL,1,no
PRP,no,IN,1,no
SC,no,VBT,1,no
NULL,no,VBT,2,no
DT,no,IN,1,yes
SC,no,CC,3,yes
NULL,no,IN,3,yes
NULL,no,NULL,3,yes
VBI,no,NULL,1,yes
VBI,no,NULL,1,no
DT,no,PRP,2,no
SC,no,CC,1,no
DT,no,NULL,2,no
IN,no,IN,3,yes
NULL,no,IN,1,no
RB,no,PRP,1,no
NULL,no,NULL,3,no
