@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
SC,no,NULL,2,no
VBT,no,VBT,1,no
SC,no,VBT,1,yes
NULL,no,VBT,1,yes
NULL,yes,IN,2,yes
JJ,no,IN,1,no
NULL,no,NULL,1,no
VBI,no,NULL,1,no
NULL,no,VBT,1,no
CC,no,RP,4,no
NULL,no,IN,1,no
NULL,no,DT,1,no
NULL,no,JJ,1,no
PRP,no,NULL,1,no
PRP,no,NULL,1,no
NULL,yes,CC,1,yes
SC,no,NULL,1,yes
NULL,no,IN,1,yes
VBT,no,RP,2,no
SC,no,NULL,4,no
VBT,no,NULL,1,yes
SC,no,NULL,1,no
NULL,no,NEG,2,no
NULL,no,VBT,1,no
RB,no,NULL,1,yes
RB,no,VBI,1,no
RB,no,VBI,1,no
RB,no,VBI,1,no
RB,no,VBI,1,yes
RB,no,VBI,1,yes
RB,no,VBI,1,yes
RB,no,VBI,1,no
NN,no,NULL,1,yes
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,no
NNP,no,NN,2,no
NNP,no,NN,2,no
NNP,no,NN,2,yes
NNP,no,NN,2,no
NNP,no,NN,2,no
NNP,no,NN,2,yes
NNP,no,NN,2,no
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,yes
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,yes
NN,no,NULL,1,yes
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,yes
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,no
NN,no,NULL,1,yes
