@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
NULL,no,CC,1,no
IN,no,NULL,2,no
IN,no,NULL,1,no
PRP,no,CC,1,no
NULL,no,NULL,1,yes
NULL,no,NULL,2,no
RB,no,NULL,1,yes
DT,no,NULL,1,no
DT,no,NULL,1,yes
RB,no,VBT,2,yes
RB,no,RP,4,no
NN,no,NULL,2,no
NULL,no,CC,1,no
NN,no,IN,1,yes
NN,no,IN,1,no
NN,no,IN,1,no
NN,no,IN,1,no
NN,no,IN,1,yes
NN,no,IN,1,no
