@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
NULL,no,SC,1,yes
VBT,yes,NULL,1,yes
IN,no,NULL,2,no
DT,no,NULL,1,no
DT,no,NULL,1,yes
NULL,no,NULL,5,no
NULL,yes,IN,1,no
PRP,no,RB,1,no
DT,no,NULL,1,yes
CC,no,NULL,2,no
NULL,no,NULL,3,yes
SC,no,NULL,1,no
NULL,no,VBT,2,yes
NULL,no,CDP,1,no
NULL,no,CDP,1,no
NULL,no,CDP,1,yes
NULL,no,CDP,1,yes
NULL,no,CDP,1,yes
RB,no,RB,1,no
RB,no,RB,1,yes
RB,no,RB,1,no
RB,no,RB,1,no
RB,no,RB,1,yes
RB,no,RB,1,yes
