@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
NULL,no,NULL,4,no
NULL,no,NULL,2,yes
IN,no,CC,1,yes
JJ,no,CC,4,yes
NN,no,NULL,1,yes
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,yes
NN,no,NULL,1,no
NN,no,NULL,1,yes
NN,no,NULL,1,no
NULL,no,CC,2,no
NULL,no,NULL,2,yes
NULL,no,NULL,2,yes
NULL,no,NULL,2,yes
NULL,no,NULL,2,no
NULL,no,NULL,2,no
NULL,no,NULL,2,no
NNP,no,NULL,1,no
NNP,no,NULL,1,no
NNP,no,NULL,1,no
NNP,no,NULL,1,no
NNP,no,NULL,1,yes
NNP,no,NULL,1,no
