@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
NULL,no,NN,4,yes
DT,no,VBT,2,yes
SC,no,VBT,1,no
NNP,no,VBT,2,yes
DT,no,RB,1,no
SC,no,VBI,1,yes
NULL,no,VBT,1,yes
SC,no,RB,3,no
NULL,no,IN,2,no
NULL,no,PRP,1,yes
NN,yes,NULL,2,yes
DT,no,NNP,1,no
NULL,no,RB,1,no
NULL,no,RB,1,no
JJ,no,NN,1,yes
SC,no,NN,3,yes
NN,no,SC,1,yes
