@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
NNP,no,JJ,3,no
DT,no,NNP,2,yes
CC,no,VBT,1,no
NNP,no,FW,1,yes
NNP,no,FW,2,yes
DT,no,NULL,1,no
SC,no,VBI,1,yes
SC,no,VBI,1,no
SC,no,VBI,1,no
JJ,no,VBT,1,no
SC,no,RB,1,yes
DT,no,VBI,2,yes
NULL,no,JJ,2,no
NNP,no,CC,1,no
JJ,no,NEG,1,no
NULL,no,PRP,3,yes
JJ,yes,VBI,1,no
NN,no,MD,1,no
JJ,no,VBT,1,no
JJ,no,VBT,1,yes
JJ,no,VBT,1,yes
NULL,no,VBT,1,no
CC,yes,MD,3,no
SC,no,NN,3,no
NN,no,SC,1,yes
