@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
NULL,no,NNP,1,yes
JJ,no,NN,2,no
CC,no,NN,6,yes
NN,no,NULL,2,no
NULL,no,VBT,5,no
NULL,no,RP,1,yes
NULL,no,NULL,1,yes
NULL,no,NULL,1,no
NULL,no,CC,3,yes
SC,no,RP,1,yes
NN,no,PRP,1,no
VBT,no,VBI,1,no
JJ,no,RB,1,yes
NULL,no,RB,2,yes
RB,no,PRP,1,yes
SC,no,NULL,1,yes
NULL,no,IN,1,yes
SC,no,NN,3,no
NN,no,SC,1,no
