@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
JJ,no,NULL,4,yes
NULL,no,IN,2,yes
NULL,no,IN,1,yes
NN,no,NULL,2,no
VBT,no,NULL,2,no
NULL,no,VBT,1,no
SC,no,IN,1,no
DT,no,JJ,1,no
IN,no,DT,2,yes
NULL,no,DT,2,yes
DT,no,NULL,1,no
CC,no,VBI,6,yes
VBI,no,CC,1,yes
VBI,no,VBT,3,no
VBI,no,VBT,1,yes
NULL,no,VBI,4,no
CC,no,DT,4,yes
IN,no,CC,6,yes
NN,no,NULL,1,yes
