@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
RB,no,NULL,1,no
RB,no,NULL,2,no
FW,yes,VBT,5,yes
IN,no,IN,1,no
DT,no,CC,2,yes
NNP,yes,RB,3,yes
SC,no,SC,2,no
VBT,no,NN,2,no
IN,no,VBT,1,no
NULL,no,VBT,4,no
RB,no,SC,7,yes
RB,no,SC,7,yes
RB,no,SC,7,yes
RB,no,SC,7,yes
RB,no,SC,7,no
RB,no,SC,7,no
VBT,no,SC,1,yes
VBT,no,SC,1,no
VBT,no,SC,1,no
VBT,no,SC,1,no
VBT,no,SC,1,no
VBT,no,SC,1,no
VBT,no,SC,1,yes
