@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
JJ,no,NULL,2,yes
IN,no,RP,1,yes
JJ,no,NN,4,no
NULL,no,VBT,2,yes
NNP,yes,UH,1,no
NNP,yes,VBT,4,yes
NN,no,CC,1,no
NNP,yes,NULL,1,no
JJ,no,RP,1,yes
JJ,no,SC,1,no
IN,no,PRP,1,no
JJ,no,RB,4,no
NULL,no,IN,1,no
NNP,no,NULL,1,yes
