@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
SC,no,NULL,1,no
DT,no,NULL,2,no
JJ,no,NNP,5,no
SC,no,IN,1,yes
NULL,no,RB,2,yes
NNP,no,IN,1,no
DT,no,SC,2,no
SC,no,NULL,3,no
VBT,no,RB,6,no
RB,no,IN,1,no
SC,no,VBI,1,no
NN,no,VBT,3,yes
NULL,no,NULL,1,yes
NULL,no,NULL,1,yes
NULL,no,RP,2,no
IN,no,IN,1,no
IN,no,IN,1,no
IN,no,IN,1,no
IN,no,IN,1,yes
IN,no,IN,1,yes
IN,no,IN,1,no
IN,no,IN,1,no
IN,no,IN,6,yes
